minx,miny,maxx,maxy,filename
-150.18503973405188,69.95935479204437,-143.62176458429434,70.565987902,Transects_grid_region_0.geojson
130.4183946635686,30.351503842271626,130.9917449545533,30.565987902,Transects_grid_region_100.geojson
119.77314584797821,-19.97226201662349,139.7363185997073,-10.969570133654182,Transects_grid_region_102.geojson
119.85964972808478,-37.195822695560665,139.756260844,-31.46222710406666,Transects_grid_region_103.geojson
139.78932742381224,34.90277421845265,150.50626847141635,46.1961941148959,Transects_grid_region_106.geojson
139.84967915598895,-29.431239696021972,153.637958040057,-10.072828341245492,Transects_grid_region_109.geojson
139.756260844,-43.62530996491454,153.37170264388013,-29.434286085968342,Transects_grid_region_110.geojson
166.71711819932267,-46.78015548448678,178.53592281529248,-34.41439700122462,Transects_grid_region_117.geojson
-120.24268251428369,30.566234309121608,-116.02554315045587,34.47042065389804,Transects_grid_region_15.geojson
-116.0461673756166,16.994577171305092,-100.243739156,30.565749380764306,Transects_grid_region_16.geojson
-160.243739156,19.98966535849902,-155.82400859068568,22.229991499979114,Transects_grid_region_2.geojson
-81.4595441524013,30.56606657234657,-80.243739156,32.53831972040241,Transects_grid_region_22.geojson
-100.243739156,14.536708708508899,-80.243739156,30.56573748066073,Transects_grid_region_23.geojson
-81.32928234165136,-6.569840104405848,-80.243739156,-3.509851279022357,Transects_grid_region_24.geojson
-80.243739156,32.53099892854381,-69.77656394757804,43.749247450820086,Transects_grid_region_29.geojson
-80.243739156,17.675647175283626,-64.56514435586769,27.37079199135045,Transects_grid_region_30.geojson
-80.243739156,-9.434012098,-78.38915472061237,-6.566260339636349,Transects_grid_region_31.geojson
-78.39369205279003,-29.347306960580326,-70.05579007012454,-9.434012098,Transects_grid_region_32.geojson
-75.59554403059731,-48.844217702286414,-71.2718555283162,-29.475616822771862,Transects_grid_region_33.geojson
-75.59725222488706,-55.177254083444836,-70.65608297959562,-49.636418854870435,Transects_grid_region_34.geojson
-124.7432177234117,34.05896786119852,-120.27843793179188,48.51282869105912,Transects_grid_region_8.geojson
113.09437196666765,-29.434012098,119.68374251165112,-19.95120578379228,Transects_grid_region_95.geojson
114.95470794180217,-35.11789940270483,119.7222088795369,-29.434012098,Transects_grid_region_96.geojson
130.12129587934479,30.565987902,139.6622578579254,35.32053593134126,Transects_grid_region_99.geojson
